WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,87,20,9.22,few clouds
186,Farkhor,TJ,37.4922,69.4036,80.67,38,99,4.21,overcast clouds
187,Santander Jimenez,MX,24.2167,-98.4667,75.06,90,89,12.19,overcast clouds
188,Naryan-Mar,RU,67.6713,53.087,31.03,89,100,6.26,overcast clouds
189,Zhezkazgan,KZ,47.8043,67.7144,64.38,45,0,8.95,clear sky
190,Araouane,ML,18.9048,-3.5265,81.37,6,68,7.14,broken clouds
191,Gat,IL,31.61,34.7642,64.4,17,9,5.99,clear sky
192,Kokkola,FI,63.8385,23.1307,38.03,71,0,4.61,clear sky
193,Khelyulya,RU,61.7333,30.6833,38.37,87,65,4.81,broken clouds
194,Ahipara,NZ,-35.1667,173.1667,64.2,82,100,11.9,overcast clouds
195,Atar,MR,20.5169,-13.0499,69.28,29,93,10.63,overcast clouds
196,Marawi,PH,7.9986,124.2928,74.34,87,91,4.25,overcast clouds
197,Darmanesti,RO,46.3667,26.4833,48.02,47,82,8.21,broken clouds
198,Geraldton,AU,-28.7667,114.6,73.81,53,0,19.57,clear sky
199,Seoul,KR,37.5683,126.9778,54.84,59,100,10.89,overcast clouds
200,Antofagasta,CL,-23.65,-70.4,56.48,79,36,4.29,scattered clouds
201,Douentza,ML,14.9951,-2.9517,85.33,9,48,3.02,scattered clouds
202,Kiama,AU,-34.6833,150.8667,63.37,90,85,1.99,overcast clouds
203,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,88,0,13.8,clear sky
204,Casablanca,MA,33.5928,-7.6192,57.42,82,54,7.47,broken clouds
205,Apatou,GF,5.155,-54.3472,71.58,99,82,1.81,broken clouds
206,Port Alfred,ZA,-33.5906,26.891,75.18,85,16,1.01,few clouds
207,Dustlik,UZ,40.5247,68.0358,79.16,32,0,5.23,clear sky
208,Aldan,RU,58.6031,125.3894,27.14,64,92,2.57,overcast clouds
209,Lompoc,US,34.6391,-120.4579,48.56,77,0,18.01,mist
210,Makakilo City,US,21.3469,-158.0858,73.72,70,0,9.22,clear sky
211,Saint-Joseph,RE,-21.3667,55.6167,81.21,79,44,15.01,light rain
212,San Vicente,AR,-26.6167,-54.1333,62.65,100,89,1.1,overcast clouds
213,Meulaboh,ID,4.1363,96.1285,86.09,65,88,6.29,overcast clouds
214,Turukhansk,RU,65.8167,87.9833,33.37,100,100,13.47,overcast clouds
215,San Cristobal,VE,7.7669,-72.225,68.11,74,100,2.37,overcast clouds
216,Sulphur Springs,US,33.1385,-95.6011,69.82,88,0,9.22,clear sky
217,Margate,GB,51.3813,1.3862,52.7,89,100,3.0,overcast clouds
218,Vao,NC,-22.6667,167.4833,76.37,67,5,8.12,clear sky
219,Tselinnoye,RU,53.0833,85.6667,47.79,58,61,13.11,broken clouds
220,Chivay,PE,-15.6383,-71.6011,42.37,35,40,0.94,scattered clouds
221,Iqaluit,CA,63.7506,-68.5145,2.93,77,75,25.32,light snow
222,Xichang,CN,27.8964,102.2634,79.21,40,4,6.2,clear sky
223,Khatanga,RU,71.9667,102.5,16.95,92,100,12.24,light snow
224,Spas,UA,48.8899,24.0629,43.48,49,0,3.56,clear sky
225,Vuktyl,RU,63.8567,57.3094,39.15,99,100,5.41,overcast clouds
226,Tonj,SS,7.2737,28.6822,90.39,41,23,4.36,few clouds
227,Bethel,US,41.3712,-73.414,51.33,66,0,0.0,clear sky
228,Gladstone,AU,-23.85,151.25,78.73,65,2,16.11,clear sky
229,Pahrump,US,36.2083,-115.9839,44.26,14,0,4.85,clear sky
230,Pangnirtung,CA,66.1451,-65.7125,1.72,98,100,4.36,overcast clouds
231,Sibolga,ID,1.7427,98.7792,85.91,69,94,6.26,overcast clouds
232,Sampit,ID,-2.5333,112.95,89.15,58,100,3.24,overcast clouds
233,Fortuna,US,40.5982,-124.1573,44.94,93,100,6.91,light rain
234,Jalu,LY,29.0331,21.5482,66.24,28,92,17.11,overcast clouds
235,Lorengau,PG,-2.0226,147.2712,83.68,74,31,4.99,scattered clouds
236,Husavik,IS,66.0449,-17.3389,26.62,85,12,11.56,few clouds
237,Jibuti,DJ,11.5,42.5,86.65,36,5,17.54,clear sky
238,Salinopolis,BR,-0.6136,-47.3561,77.36,89,100,9.22,overcast clouds
239,Cayenne,GF,4.9333,-52.3333,81.09,1,75,12.66,mist
240,Rawson,AR,-43.3002,-65.1023,54.41,55,0,19.3,clear sky
241,Lesozavodsk,RU,45.4794,133.4244,48.7,30,100,12.19,overcast clouds
242,Airai,TL,-8.9266,125.4092,65.79,89,100,3.06,overcast clouds
243,Fray Bentos,UY,-33.1325,-58.2956,51.91,63,4,7.34,clear sky
244,Zemlyansk,RU,51.9041,38.7334,53.24,61,96,16.96,overcast clouds
245,Hashtrud,IR,37.4779,47.0508,59.0,13,0,16.31,clear sky
246,Moree,AU,-29.4667,149.85,77.02,33,40,12.66,scattered clouds
247,Puerto Escondido,MX,15.85,-97.0667,79.99,75,100,9.22,overcast clouds
248,Sao Filipe,CV,14.8961,-24.4956,69.76,76,88,12.28,overcast clouds
249,Shashi,CN,30.3072,112.2447,66.36,54,96,13.91,overcast clouds
250,Manggar,ID,-2.8833,108.2667,86.32,59,71,8.81,broken clouds
251,Fairbanks,US,64.8378,-147.7164,32.22,69,0,0.0,clear sky
252,Aykhal,RU,66.0,111.5,22.55,92,100,20.33,light snow
253,Gold Coast,AU,-28.0,153.4333,72.0,88,100,8.05,overcast clouds
254,Klyuchevskiy,RU,53.5317,119.4519,36.45,40,100,4.07,overcast clouds
255,Moerai,PF,-22.4333,-151.3333,80.98,73,100,14.03,light rain
256,Pedernales,DO,18.0384,-71.744,77.7,72,7,4.47,clear sky
257,Ende,ID,-8.8432,121.6623,82.49,81,57,4.41,broken clouds
258,Te Anau,NZ,-45.4167,167.7167,47.64,77,4,1.07,clear sky
259,Matara,LK,5.9485,80.5353,81.81,83,100,8.28,overcast clouds
260,Vicente Guerrero,MX,19.1194,-98.1708,64.26,53,99,4.61,overcast clouds
261,Price,US,39.5994,-110.8107,26.11,68,0,4.61,clear sky
262,Gravdal,NO,68.1214,13.5031,35.01,91,100,8.37,overcast clouds
263,Hirara,JP,24.8,125.2833,79.07,73,75,12.66,broken clouds
264,Bundaberg,AU,-24.85,152.35,76.21,72,74,12.66,broken clouds
265,Dingle,PH,10.9995,122.6711,79.48,82,100,3.91,light rain
266,Birjand,IR,32.8663,59.2211,82.87,6,0,11.5,clear sky
267,Quatre Cocos,MU,-20.2078,57.7625,83.08,78,46,20.0,light rain
268,Puri,IN,19.8,85.85,95.52,71,0,20.2,clear sky
269,Camacupa,AO,-12.0167,17.4833,64.06,89,53,4.0,broken clouds
270,Tailai,CN,46.3833,123.4,54.66,14,99,5.12,overcast clouds
271,Hailar,CN,49.2,119.7,45.0,15,100,11.86,overcast clouds
272,Cidreira,BR,-30.1811,-50.2056,69.22,90,100,7.38,overcast clouds
273,Khandyga,RU,62.6667,135.6,27.82,79,100,2.46,overcast clouds
274,San Matias,BO,-16.3667,-58.4,74.28,90,11,4.29,few clouds
275,Tshela,CD,-4.9833,12.9333,75.24,96,100,0.38,overcast clouds
276,Acarau,BR,-2.8856,-40.12,76.77,86,33,6.64,scattered clouds
277,Bonavista,CA,48.6499,-53.1147,31.87,91,100,24.87,overcast clouds
278,Kieta,PG,-6.2167,155.6333,82.9,75,99,3.94,overcast clouds
279,Mocuba,MZ,-16.8392,36.9856,79.09,81,17,4.63,few clouds
280,Los Amates,GT,15.2667,-89.1,74.35,96,100,0.63,overcast clouds
281,Pacific Grove,US,36.6177,-121.9166,48.31,79,0,11.01,clear sky
282,Saint George,US,37.1041,-113.5841,46.63,19,0,10.0,clear sky
283,Karratha,AU,-20.7377,116.8463,91.06,30,0,11.54,clear sky
284,Ostrovnoy,RU,68.0531,39.5131,25.34,82,100,4.94,overcast clouds
285,Ushtobe,KZ,45.2514,77.9838,69.91,21,1,9.86,clear sky
286,Wucheng,CN,29.6008,118.175,58.42,97,100,5.19,moderate rain
287,Livramento,BR,-3.0254,-60.1803,75.87,100,0,0.0,clear sky
288,Loa Janan,ID,-0.583,117.095,81.77,78,100,1.05,overcast clouds
289,Avarua,CK,-21.2078,-159.775,75.25,94,0,2.3,clear sky
290,Diego De Almagro,CL,-26.3667,-70.05,54.41,48,0,1.66,clear sky
291,Esperance,AU,-33.8667,121.9,67.84,80,21,19.17,few clouds
292,Bengkulu,ID,-3.8004,102.2655,84.83,67,37,7.9,scattered clouds
293,Bose,IT,45.4612,8.0137,56.21,60,100,2.64,overcast clouds
294,Srandakan,ID,-7.9386,110.2506,85.59,65,26,10.67,scattered clouds
295,Leningradskiy,RU,69.3833,178.4167,-1.3,92,47,14.18,scattered clouds
296,Dawlatabad,AF,36.4141,64.9053,83.57,20,0,3.87,clear sky
297,Kerch,UA,45.3583,36.4758,45.01,67,100,24.38,overcast clouds
298,Saldanha,ZA,-33.0117,17.9442,63.88,84,90,8.21,overcast clouds
299,Victoria,HK,22.2855,114.1577,86.18,73,8,8.01,clear sky
300,Pokhara,NP,28.2333,83.9833,85.32,44,97,4.43,overcast clouds
301,Zelenogorskiy,RU,55.0333,87.0,43.45,64,28,7.4,scattered clouds
302,Faanui,PF,-16.4833,-151.75,82.6,69,8,14.94,clear sky
303,Kupang,ID,-10.1667,123.5833,85.23,66,49,12.84,heavy intensity rain
304,Nara,JP,34.6851,135.8049,80.96,42,16,8.08,few clouds
305,Batagay,RU,67.6333,134.6333,14.72,88,100,3.0,overcast clouds
306,Lakeway,US,30.3638,-97.9796,75.79,81,100,8.01,overcast clouds
307,Walvis Bay,NA,-22.9575,14.5053,65.48,68,97,7.47,overcast clouds
308,Villa Rica,US,33.7321,-84.9191,67.71,82,100,8.05,overcast clouds
309,Surt,LY,31.2089,16.5887,64.35,61,6,18.45,clear sky
310,Namibe,AO,-15.1961,12.1522,77.43,75,1,3.4,clear sky
311,Cherskiy,RU,68.75,161.3,10.45,86,98,5.68,overcast clouds
312,Kerema,PG,-7.9631,145.7785,84.69,77,100,6.24,overcast clouds
313,Talnakh,RU,69.4865,88.3972,33.21,100,100,8.32,overcast clouds
314,Carutapera,BR,-1.195,-46.02,76.51,92,100,5.77,overcast clouds
315,Leh,IN,34.1667,77.5833,43.84,51,99,2.08,overcast clouds
316,Asau,RO,46.4333,26.4,47.28,51,85,7.65,overcast clouds
317,Aklavik,CA,68.2191,-135.0107,16.36,89,100,10.25,overcast clouds
318,Grand Gaube,MU,-20.0064,57.6608,83.37,77,16,8.99,few clouds
319,Verrettes,HT,19.05,-72.4667,74.19,88,63,4.07,broken clouds
320,High Level,CA,58.5169,-117.136,6.91,72,0,5.75,clear sky
321,Vila Velha,BR,-20.3297,-40.2925,75.15,95,20,1.14,few clouds
322,Paamiut,GL,61.994,-49.6678,24.28,78,19,11.9,few clouds
323,Mortka,RU,59.3322,66.0214,43.77,85,98,9.22,overcast clouds
324,Cabra,ES,37.4725,-4.4421,47.75,94,56,2.06,broken clouds
325,Uhlove,UA,44.8215,33.6045,50.02,67,100,18.41,overcast clouds
326,Libreville,GA,0.3925,9.4537,78.35,85,100,4.18,overcast clouds
327,Tortoli,IT,39.9256,9.6572,51.62,87,40,4.61,scattered clouds
328,Padang,ID,-0.9492,100.3543,87.85,70,44,6.73,scattered clouds
329,Altay,CN,47.8667,88.1167,52.25,54,5,1.61,clear sky
330,Ekhabi,RU,53.5102,142.9671,28.24,72,100,8.48,overcast clouds
331,Beira,MZ,-19.8436,34.8389,82.49,83,40,6.91,scattered clouds
332,Erenhot,CN,43.6475,111.9767,44.06,43,64,24.07,broken clouds
333,Bathsheba,BB,13.2167,-59.5167,77.61,78,40,17.27,scattered clouds
334,Ylojarvi,FI,61.5563,23.5961,37.94,70,0,4.61,clear sky
335,Salta,AR,-24.7859,-65.4117,63.19,88,100,6.91,overcast clouds
336,Moroni,KM,-11.7022,43.2551,81.88,77,100,3.42,light rain
337,Bilibino,RU,68.0546,166.4372,18.16,79,100,2.8,overcast clouds
338,Mulege,MX,26.8833,-111.9833,63.59,68,3,5.14,clear sky
339,Pogar,RU,52.554,33.2591,38.52,96,100,15.08,overcast clouds
340,Griffith,US,41.5284,-87.4237,68.05,82,0,13.8,clear sky
341,The Valley,AI,18.217,-63.0578,77.09,65,1,21.81,clear sky
342,Nkan,GA,0.3833,9.7833,76.53,90,100,2.13,overcast clouds
343,Uige,AO,-7.6087,15.0613,68.32,97,100,1.66,light rain
344,Siilinjarvi,FI,63.0833,27.6667,35.62,69,0,3.44,clear sky
345,Sakakah,SA,29.9697,40.2064,69.37,23,0,5.5,clear sky
346,Jardim,BR,-21.4803,-56.1381,69.87,100,97,3.18,light rain
