WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
488,Necochea,AR,-38.5473,-58.7368,53.92,68,0,6.8,clear sky
489,Wenatchee,US,47.4235,-120.3103,41.29,67,100,4.61,overcast clouds
490,Nenjiang,CN,49.1833,125.2167,47.23,21,9,8.46,clear sky
491,Pitea,SE,65.3172,21.4794,33.89,90,92,7.36,overcast clouds
492,Lagos,NG,6.5833,3.75,77.32,82,87,2.04,overcast clouds
493,Maniitsoq,GL,65.4167,-52.9,16.52,79,10,11.34,clear sky
494,Palauig,PH,15.435,119.9045,85.06,64,42,9.78,scattered clouds
495,Inverness,GB,57.4791,-4.224,43.79,94,75,1.14,broken clouds
496,Dicabisagan,PH,17.0818,122.4157,84.99,66,42,6.4,scattered clouds
497,Ust-Kuyga,RU,70.0167,135.6,15.98,81,26,2.57,scattered clouds
498,Dawei,MM,14.0833,98.2,92.3,51,71,11.72,broken clouds
499,San Rafael,AR,-34.6177,-68.3301,51.6,31,0,3.09,clear sky
500,Deer Lake,CA,49.1667,-57.4316,33.66,75,100,9.22,overcast clouds
501,Travagliato,IT,45.5191,10.0805,56.97,65,0,2.3,clear sky
502,Nelson Bay,AU,-32.7167,152.15,74.08,64,36,11.16,scattered clouds
503,Ibiapina,BR,-3.9233,-40.8894,63.88,98,91,1.59,overcast clouds
504,Bowen,AU,-20.0167,148.2333,81.5,60,85,18.01,overcast clouds
505,Dunedin,NZ,-45.8742,170.5036,58.8,55,56,4.0,broken clouds
506,Barahona,DO,18.2085,-71.1008,74.8,81,28,5.48,scattered clouds
507,Martapura,ID,-3.4167,114.85,91.49,55,40,4.61,scattered clouds
508,Zuenoula,CI,7.4292,-6.0431,74.23,92,100,8.08,overcast clouds
509,Muros,ES,42.7762,-9.0603,44.83,95,100,4.0,overcast clouds
510,Mananjary,MG,-21.2167,48.3333,78.55,83,51,5.44,light rain
511,Zhezkazgan,KZ,47.8043,67.7144,64.38,34,0,8.95,clear sky
512,Dangara,IN,29.6799,75.8931,103.15,9,1,8.81,clear sky
513,Chibombo,ZM,-14.6569,28.0706,68.22,82,39,5.84,scattered clouds
514,Palasa,IN,18.7667,84.4167,97.39,41,56,17.63,broken clouds
515,Mikkeli,FI,61.6886,27.2723,35.15,86,0,1.14,clear sky
516,Mineros,BO,-17.1167,-63.2333,68.74,95,100,10.36,overcast clouds
517,Blois,FR,47.5833,1.3333,50.13,91,90,3.89,overcast clouds
518,Pimenta Bueno,BR,-11.6725,-61.1936,72.34,98,44,0.87,scattered clouds
519,Tumut,AU,-35.3,148.2167,72.59,36,4,4.18,clear sky
520,Shenjiamen,CN,29.9576,122.298,57.56,95,100,23.87,overcast clouds
521,Les Cayes,HT,18.2,-73.75,75.79,84,32,8.61,scattered clouds
522,Rusanesti,RO,43.9333,24.6,51.35,52,1,3.09,clear sky
523,Itatiaia,BR,-22.4961,-44.5633,68.45,96,70,1.81,broken clouds
524,Ampanihy,MG,-24.7,44.75,84.63,46,15,8.97,few clouds
525,Ler,SS,8.3018,30.1418,90.27,39,67,2.82,broken clouds
526,Ancud,CL,-41.8697,-73.8203,52.23,93,19,4.61,few clouds
